word,colour,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,fixation.started,fixation.stopped,text.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
joy,Pink,p,0,0,0,2,13.267388100037351,14.278319700038992,14.278319700038992,14.7785013000248,14.7785013000248,14.7785013000248,p,1,2.2372483999934047,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bag,Green,g,0,1,1,11,,,17.04598920000717,17.529746400075965,17.529746400075965,17.529746400075965,g,1,1.3599121998995543,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
pen,Pink,p,0,2,2,10,,,18.91336380003486,19.414007400046103,19.414007400046103,19.414007400046103,p,1,1.1137443999759853,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
happy,Red,r,0,3,3,0,,,20.547277500038035,21.047602500068024,21.047602500068024,21.047602500068024,r,1,2.609556799987331,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
cap,Red,r,0,4,4,9,,,23.68193030008115,24.16828850004822,24.16828850004822,24.16828850004822,r,1,1.7765186000615358,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
delighted,Blue,b,0,5,5,1,,,25.966028099996038,26.449757200083695,26.449757200083695,26.449757200083695,b,1,2.357538799988106,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
disturbed,Blue,b,0,6,6,7,,,28.837638500030152,29.321128600044176,29.321128600044176,29.321128600044176,b,1,1.085999200004153,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
excitement,Green,g,0,7,7,3,,,30.43747100001201,30.935359700000845,30.935359700000845,30.935359700000845,g,1,3.5643639999907464,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
sad,Red,r,0,8,8,5,,,34.52121000003535,35.02004480001051,35.02004480001051,35.02004480001051,r,1,1.322854100028053,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
remorse,Blue,b,0,9,9,4,,,36.387473699986,36.870684100082144,36.870684100082144,36.870684100082144,r,0,2.4874701999360695,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
angry,Pink,p,0,10,10,6,,,39.38836950005498,39.888590099988505,39.888590099988505,39.888590099988505,p,1,2.942573100095615,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bottle,Green,g,0,11,11,8,,,42.857762600062415,43.35651479999069,43.35651479999069,43.35651479999069,g,1,1.1292156000854447,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bag,Green,g,1,0,12,11,,,44.50820480007678,45.00708350003697,45.00708350003697,45.00708350003697,g,1,1.572374099981971,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
delighted,Blue,b,1,1,13,1,,,46.60828779998701,47.10784660000354,47.10784660000354,47.10784660000354,b,1,1.41449850006029,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
pen,Pink,p,1,2,14,10,,,48.54174300003797,49.04186130000744,49.04186130000744,49.04186130000744,p,1,2.5366461999947205,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
remorse,Blue,b,1,3,15,4,,,51.60944760008715,52.10952569998335,52.10952569998335,52.10952569998335,b,1,2.828110000002198,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
bottle,Green,g,1,4,16,8,,,54.9615388000384,55.46081509999931,55.46081509999931,55.46081509999931,g,1,1.4826624999986961,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
cap,Red,r,1,5,17,9,,,56.96174539998174,57.461534500005655,57.461534500005655,57.461534500005655,r,1,1.2852683999808505,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
angry,Pink,p,1,6,18,6,,,58.77866140007973,59.27954480005428,59.27954480005428,59.27954480005428,p,1,2.244660099968314,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
sad,Red,r,1,7,19,5,,,61.54740710009355,62.04622260003816,62.04622260003816,62.04622260003816,r,1,1.4793414999730885,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
excitement,Green,g,1,8,20,3,,,63.55001090001315,64.04722210008185,64.04722210008185,64.04722210008185,g,1,1.2843268999131396,None,,11,001,2023-11-30_21h41.53.085,Emotional Stroop,2023.1.3,60.112771522324074,
